label,text
1,"Congratulations! You have won a prize. Click here"
1,"Bizarre cinnamon water trick going viral... It's painless, tasteless, triggers belly fat burn while you sleep. Flatten your stomach OVERNIGHT! [LINK]"
1,"Please click below for a complimentary copy of USA Today Army Corps of Engineers"
1,"Hi Hasan, Still want to create and customize your website in minutes? Log back in to unlock your AI-drafted website. For a limited time, unlock $1/month for 3 months, including our most popular premium features."
1,"Donald Trump is our President elect and is slated to be back in the White House in just a couple of months! This was a historic victory, President Trump won in a landslide and it looks like we'll have a Republican majority in both the House and Senate which means Donald Trump can make some real progress without having to worry about the Dems getting in the way! To celebrate such a historic moment in American history, we've launched a brand new collection full of items we know you'll love. Grab some new Trump Victory collectibles, apparel and more! Browse below..."
1,"Click Here For Audien Atom Hearing Aids"
1,"Hey there! We’re putting the final touches on Font Awesome 7, launching this June. (By my count that's very soon.) As a free user, you’ll get the updated open-source version of FA 7 automatically. But to unlock all of FA 7 Pro, you'll need a Pro plan. Want even more? Our Pro+ icon packs—like Chisel, Whiteboard, and Notdog—are only available with our new Pro+ plan."
1,"Not seeing the images? Check for solutions here! Property Inquiry for your home - View pending offers."
0,"You can  meet me today"
0,"30.05.2025 tarihli günlük raporu ektedir."
0,"Toplantı yarın saat 10'da."
0,"Bugün raporu kontrol ettim, eksik görünmüyor."
0,"Yarın sabah kahvaltıda buluşalım mı?"
0,"Yeni dökümanı ekledim, kontrol edebilirsin."
0,"Lütfen bugünkü sunumu saat 14:00’e al."
0,"Hocam derse geç kalacağım."
0,"Merhaba, bu haftaki raporu paylaşıyorum."
0,"Invoice 29 May 2025 Sequence:2-7130224794 Order ID:MNY4TWFF18 Document:1404240167107 Apple Account:aliveli@hotmail.com Ali’s iPhone 13 Pro Max ₺49,99 Inclusive of VAT at %20₺8,33 MasterCard •••• 1112 You can view your receipts in App Store settings › Purchase History, or turn on renewal receipts to get emails like this each time your subscriptions renew."
1,"Your Apple ID has been locked due to suspicious activity. Please click the link below to verify your account: http://apple.security-update-login.com"
0,"Thanks for purchasing iCloud+ 50GB storage. Your subscription will renew automatically on 1 June 2025. You can manage your subscription anytime in Settings > Apple ID > Subscriptions."
1,"Unusual login detected on your Apple ID from Russia. Immediate action required! Click here to secure your account: http://appleid-reset.com"
1,"We have a gift waiting for you in your Apple Rewards account. Redeem your iPhone 15 Pro now at http://apple-gifts.claim-now.ru"
0,"Apple Support Case ID: 14537832 Your case regarding the battery performance of iPhone 13 Pro has been received. Our representative will follow up shortly."
0,"[GitHub] You were mentioned in issue #42 of openai/chatgpt. Click here to view or reply."
0,"[GitHub] Your repository 'ai-project' has a new security alert: CVE-2025-1234. Please review."
1,"Try GitHub Copilot X now with a free trial! Get AI assistance across your entire workflow."
0,"[GitHub] New commit pushed to main branch of repo 'web-app'. Click here to view the diff."
1,"Upgrade to GitHub Pro now and unlock powerful insights for your repositories."
1,"Your GitHub account will be suspended unless you confirm your password here: http://git-hub-login.com"
0,"[Jira] You have been assigned to the issue PROJ-42: Fix login redirect bug. View it here: https://yourcompany.atlassian.net/browse/PROJ-42"
0,"[Jira] Issue PROJ-87 has been marked as Done by Ali Veli. Click here to see progress."
1,"Limited time offer: Try Jira Premium free for 30 days and supercharge your agile team."
1,"Your Jira account will be suspended unless you verify your credentials here: http://jira-support-verification.com"
0,"[Jira] A comment was added to the issue DEV-10 by Zeynep Kaya: 'Looks good, please deploy.'"
1,"Atlassian has just launched new insights for agile planning—see how Jira can help!"
0,"Ümit Toprak 2 güncelleme yaptı. ARC-570 ödeme planlarının kaydedilmesi için tablo yapısı hazırlanacak. Durum: Tamam → TEST. Bileti görüntüle."
0,"Ahmet Gökçen assigned issue CRM-122: Login ekranında arka plan resmi çıkmıyor."
0,"Gökhan Demir closed ticket BACK-18. Çözüm: Fix Released."
0,"From: aylik.ucret.bordrosu@x.com - Subject: Ocak 2024 / 1 Nolu Ödemenin Bordro Zarfi - Ekli dosyada bordro zarfiniz bulunmaktadır. Güvenlik uyarısı: Bu e-posta kurum dışından gönderilmiştir."
0,"Bordro bildiriminiz ekte yer almaktadır. PwC Türkiye tarafından gönderilmiştir."
0,"Maaş bordronuz Mart 2025 için sistemimize yüklenmiştir. Ekteki PDF'yi görüntüleyebilirsiniz."
0,"We greatly appreciate your interest in Wide and Wise and the time you have invested to apply for Full Stack Developer. We have reviewed your application, and unfortunately we are not able to offer you a position at this time. Please continue to check our career site for available opportunities. We wish you the best of luck in your job search. -- Kemal, Wide and Wise"
0,"We are excited to invite you to the next round of interviews at WiseTech! Please find the details inside."
0,"Your application has been declined. Thank you for your interest in Google."
0,"Seat request approved. Orkan has approved your seat request. You now have full access to Dev Mode, FigJam, and Figma Slides in 8DESIGNLAB. Go to Figma."
0,"Your GitHub invitation to join the repository 'openai/chatgpt-clone' has been approved."
0,"Slack notification: Hüseyin joined the channel #devops"
0,"Figma: You’ve been invited to a new project ‘UI Redesign 2025’. Click here to view."
1,"Good Day. Kindly send in your quotation for the enclosed inquiry. Pages 3 and 4 are our company profile and presentation. Looking forward to your response and schedule zoom call to kick off. Thank you. SULTHAN AHMED, Value Addition LLC, Damascus St, Al Qusais, Dubai, UAE, info@value.ae, +971 4 2577338"
1,"Luxᴜry Timepieces That Define Your Style. Explore our handpicked collection of exquisite Luxᴜry watcɦes, starting at just $250. Elevate your everyday elegance with timeless craftsmanship."
1,"Subscription Payment Declined. Hi info@eyzi.net, We attempted to process your subscription payment for ChatGPT, but unfortunately, the payment was declined. This may be due to an issue with your payment method. To continue enjoying uninterrupted access to ChatGPT, please update your payment information. Update Payment Details. If you have any questions or need help, feel free to contact our support team. Thank you for using ChatGPT. The OpenAI Team"
1,"Get the best email lists for your email marketing. 100% VALID email lists of any country in the world. Talk to us in WhatsApp: +55 21 98110 4898 Or Skype: corbettsoftware. Email lists from any country in the world: Each 100.000 emails = US$ 150. We are waiting for you. SUPER LIST"
1,"Updating our privacy policy. eyzi.net We’ve revised our privacy policy and cPanel Services Agreement. If you wish to continue to use our products and services, we recommend that you find the attachment file that is attached to this email to automatically update to our privacy policy to avoid service interruption, or your eyzi.net account being closed. Thank you for using cPanel."
1,"Hello. My name is Thea Rockel, the product sourcing manager of Horze International GmbH. We want to make an order from your company. Please confirm if we can send our order over, so that you can conclude on the quantity and price. Tel: +49 (0) 661 410 922-0 | batakimhung@gmail.com"
0,"Get ready for the State of Unreal. There are just two days left until the State of Unreal goes live at Unreal Fest Orlando! Join us at 9:30 AM EDT..."
